isbn_a,isbn_b,pearson,num_common_users
014025448,64407667,0.006303739762977763,6
375705856,60392452,-0.25225843168897194,3
142001740,385721420,0.03051357400711659,8
60085444,743418174,-0.5538529387480751,3
312978383,684874350,0.4497091445375675,4
044021145,446310786,0.29424723693030397,12
038572179,743418174,-0.7852083574267767,7
375700757,449212602,0.8352256651905833,3
006101351,439064864,0.004385858133576791,4
006101351,155874262,-0.6487906033093133,3
014028009,446360589,-0.3198616695799773,3
014028009,440226430,0.19328898319190943,11
014100018,671003755,-0.8602026342034961,3
042518630,345313860,-0.4929466689357037,4
051512219,553265741,0.9809637114695098,4
051513287,385493800,0.8955399480072678,3
067102535,380710218,0.505433980074261,3
067976402,316666009,0.6320690562678587,3
156027321,375707972,-0.09664094439447787,5
1573225789,786885688,0.822161121685326,3
312195516,553582747,-0.9056155852085014,3
312195516,312983824,-0.4638201640930344,3
312978383,70212570,0.7099373970166761,3
316096199,316776963,-0.13323036972658575,6
316776963,60938455,-0.1651521194792172,6
316789089,671003755,0.21252930149354748,5
345313860,515127833,0.9113490453012167,3
345370775,671027387,0.6046285364064184,3
375707972,451526341,0.7307467105691988,3
375726403,553572997,0.5833960357107102,4
380789019,441003257,0.6375149214844865,4
385335881,971880107,0.405090875440251,7
385472951,385511612,0.23210543968958636,5
446672211,786885688,-0.27777518048716243,7
553273914,671510053,-0.43962110280196387,3
553582135,786868716,0.13285529655576248,5
316776963,385721420,0.346373760951506,3
60392452,805063889,-0.16162220404502795,5
1558743669,375727345,0.7954311794923439,4
385720106,553250426,0.342309457832345,3
446605239,60930535,-0.9515664294899484,3
446672211,671708635,-0.704748752058649,4
1558744150,440211727,0.07516198847239533,5
1558744150,345443284,-0.29481576205528237,3
042518630,553272837,0.8747156687685725,4
1573229571,452282152,0.14245453431044852,4
043935806,1558743669,0.24182913227137778,6
449907481,553569058,0.9938863970359075,3
156027321,671021001,0.5874975121350606,4
316601950,439136350,-0.05201620950217487,3
316769487,553210092,0.8219295256609382,3
142001740,671617028,0.9999683710798305,3
156027321,312422156,0.5169315677784446,3
439064872,553582526,-0.374370482159648,3
515127833,842329129,0.24965928239351934,3
671036505,743418174,0.08804509063256238,3
452282152,671510053,0.24534276828345922,5
440215625,449907481,-0.4330880371491335,3
038542017,043935806,-0.9795215035204827,3
140293248,316769487,-0.8492658765062698,5
014028009,439136350,-0.08469842862296742,7
439136350,446672211,0.686725816387902,5
385721420,671003755,-0.9428525062415524,3
043935806,60256672,0.1868771333117893,4
385504209,60917016,0.1406408068477241,3
446605484,671042858,-0.6920978694321871,3
312971346,671867113,0.9503062931681185,3
316601950,385335881,0.4916989109154651,7
452282152,743474325,-0.5015287271065473,3
375700757,440122090,0.8662197905253107,3
312983824,440211727,-0.8467594767708063,4
043935806,345313860,0.4724663383147969,6
425124347,446672211,-0.9741895982683545,3
446605484,446606383,-0.8977611928845441,3
439064864,451524934,0.23166042698846867,5
316666343,679442790,0.26909206029605237,3
316693200,316776963,0.007631278232428246,3
316769487,446523569,0.17014518457323724,3
068484267,446672211,0.041707809315676546,5
452282152,60930535,0.40684375952568774,13
142001740,380977788,-0.17671581878951512,5
316769487,446310786,0.03472701834588094,19
375726403,60930535,0.6676329322123655,10
439064872,671027360,0.015347467706046577,7
014025448,440226430,-0.671731523755224,5
038542471,767902521,-0.11997567059701568,3
044021145,1558744150,-0.5726204591317482,4
067976402,553582526,0.5567317275487439,4
140293248,345378490,-0.9062492856320632,3
140298479,380710218,0.10564536741441963,3
1558744150,440226104,-0.18438217372133822,4
156027321,316776963,0.11675186935026212,3
312195516,679735909,-0.4989588302486085,5
312195516,440225701,0.18365845199835226,4
316096199,679735909,-0.25495169637046333,3
345370775,446611867,-0.9441483632443511,3
345370775,440514428,-0.4937453823163613,3
345465083,671003755,0.9467713541308316,3
375707972,679734775,0.027734636462899004,4
375726403,385511612,-0.3249285895299964,3
385472951,743418174,-0.23285450948641678,3
